"FUN_BUSINESS_UNIT.Name","ModuleId","ConfigurationStatus","CreatedBy","CreationDate","LastUpdatedBy","LastUpdateDate","LastUpdateLogin"
"Australia","120","Y","venkat@squareup.com","2018/09/28 02:39:40.007","venkat@squareup.com","2018/09/28 02:39:43.941","76058A156AB67316E053120C1B0A6758"
"Australia","130","Y","venkat@squareup.com","2018/09/28 02:39:40.0","venkat@squareup.com","2018/09/28 02:39:43.939","76058A156AB67316E053120C1B0A6758"
"Australia","140","Y","mukund1@squareup.com","2018/09/27 18:55:11.046","mukund1@squareup.com","2018/09/27 18:55:11.938","76058A3A4B2D72FAE053120C1B0AD89D"
"Australia","190","Y","mukund1@squareup.com","2018/09/27 18:55:11.049","mukund1@squareup.com","2018/09/27 18:55:11.939","76058A3A4B2D72FAE053120C1B0AD89D"
"Bitcoin HW NL","10","Y","viyan@squareup.com","2023/06/12 16:58:51.015","viyan@squareup.com","2023/06/12 16:58:53.742","FDE9BBC9A9FAC4FDE0539696500A8BAE"
"Bitcoin HW NL","20","Y","viyan@squareup.com","2023/06/12 16:58:51.017","viyan@squareup.com","2023/06/12 16:58:53.743","FDE9BBC9A9FAC4FDE0539696500A8BAE"
"Bitcoin HW NL","30","Y","viyan@squareup.com","2023/06/12 16:58:51.0","viyan@squareup.com","2023/06/12 16:58:53.736","FDE9BBC9A9FAC4FDE0539696500A8BAE"
"Bitcoin HW NL","40","Y","viyan@squareup.com","2023/06/12 16:58:51.008","viyan@squareup.com","2023/06/12 16:58:53.739","FDE9BBC9A9FAC4FDE0539696500A8BAE"
"Bitcoin HW NL","70","Y","viyan@squareup.com","2023/06/12 16:58:51.005","viyan@squareup.com","2023/06/12 16:58:53.737","FDE9BBC9A9FAC4FDE0539696500A8BAE"
"Bitcoin HW NL","80","Y","viyan@squareup.com","2023/06/12 16:58:51.013","viyan@squareup.com","2023/06/12 16:58:53.741","FDE9BBC9A9FAC4FDE0539696500A8BAE"
"Bitcoin HW NL","90","Y","viyan@squareup.com","2023/06/12 16:58:51.007","viyan@squareup.com","2023/06/12 16:58:53.738","FDE9BBC9A9FAC4FDE0539696500A8BAE"
"Bitcoin HW NL","110","Y","viyan@squareup.com","2023/06/12 16:58:51.019","viyan@squareup.com","2023/06/12 16:58:53.743","FDE9BBC9A9FAC4FDE0539696500A8BAE"
"Bitcoin HW NL","120","Y","viyan@squareup.com","2023/06/12 16:58:51.022","viyan@squareup.com","2023/06/12 16:58:53.745","FDE9BBC9A9FAC4FDE0539696500A8BAE"
"Bitcoin HW NL","130","Y","viyan@squareup.com","2023/06/12 16:59:33.0","viyan@squareup.com","2023/06/12 16:59:34.841","FDE9BBC9A9FAC4FDE0539696500A8BAE"
"Bitcoin HW NL","140","Y","viyan@squareup.com","2023/06/12 16:58:51.01","viyan@squareup.com","2023/06/12 16:58:53.74","FDE9BBC9A9FAC4FDE0539696500A8BAE"
"Bitcoin HW NL","180","Y","viyan@squareup.com","2023/06/12 16:58:51.021","viyan@squareup.com","2023/06/12 16:58:53.744","FDE9BBC9A9FAC4FDE0539696500A8BAE"
"Bitcoin HW NL","190","Y","viyan@squareup.com","2023/06/12 16:58:51.012","viyan@squareup.com","2023/06/12 16:58:53.741","FDE9BBC9A9FAC4FDE0539696500A8BAE"
"Bitcoin HW NL","200","Y","viyan@squareup.com","2023/06/12 16:58:51.023","viyan@squareup.com","2023/06/12 16:58:53.746","FDE9BBC9A9FAC4FDE0539696500A8BAE"
"Bitcoin HW US","10","Y","viyan@squareup.com","2023/06/12 16:56:00.063","viyan@squareup.com","2023/06/12 16:56:03.076","FDE9BBC9A9FAC4FDE0539696500A8BAE"
"Bitcoin HW US","20","Y","viyan@squareup.com","2023/06/12 16:56:00.065","viyan@squareup.com","2023/06/12 16:56:03.076","FDE9BBC9A9FAC4FDE0539696500A8BAE"
"Bitcoin HW US","30","Y","viyan@squareup.com","2023/06/12 16:56:00.0","viyan@squareup.com","2023/06/12 16:56:03.061","FDE9BBC9A9FAC4FDE0539696500A8BAE"
"Bitcoin HW US","40","Y","viyan@squareup.com","2023/06/12 16:56:00.056","viyan@squareup.com","2023/06/12 16:56:03.072","FDE9BBC9A9FAC4FDE0539696500A8BAE"
"Bitcoin HW US","70","Y","viyan@squareup.com","2023/06/12 16:56:00.053","viyan@squareup.com","2023/06/12 16:56:03.069","FDE9BBC9A9FAC4FDE0539696500A8BAE"
"Bitcoin HW US","80","Y","viyan@squareup.com","2023/06/12 16:56:00.062","viyan@squareup.com","2023/06/12 16:56:03.075","FDE9BBC9A9FAC4FDE0539696500A8BAE"
"Bitcoin HW US","90","Y","viyan@squareup.com","2023/06/12 16:56:00.055","viyan@squareup.com","2023/06/12 16:56:03.071","FDE9BBC9A9FAC4FDE0539696500A8BAE"
"Bitcoin HW US","110","Y","viyan@squareup.com","2023/06/12 16:56:00.067","viyan@squareup.com","2023/06/12 16:56:03.077","FDE9BBC9A9FAC4FDE0539696500A8BAE"
"Bitcoin HW US","120","Y","viyan@squareup.com","2023/06/12 16:56:00.073","viyan@squareup.com","2023/06/12 16:56:03.08","FDE9BBC9A9FAC4FDE0539696500A8BAE"
"Bitcoin HW US","130","Y","viyan@squareup.com","2023/06/12 16:56:00.071","viyan@squareup.com","2023/06/12 16:56:03.079","FDE9BBC9A9FAC4FDE0539696500A8BAE"
"Bitcoin HW US","140","Y","viyan@squareup.com","2023/06/12 16:56:00.058","viyan@squareup.com","2023/06/12 16:56:03.073","FDE9BBC9A9FAC4FDE0539696500A8BAE"
"Bitcoin HW US","180","Y","viyan@squareup.com","2023/06/12 16:56:00.069","viyan@squareup.com","2023/06/12 16:56:03.078","FDE9BBC9A9FAC4FDE0539696500A8BAE"
"Bitcoin HW US","190","Y","viyan@squareup.com","2023/06/12 16:56:00.06","viyan@squareup.com","2023/06/12 16:56:03.074","FDE9BBC9A9FAC4FDE0539696500A8BAE"
"Bitcoin HW US","200","Y","viyan@squareup.com","2023/06/12 16:56:00.075","viyan@squareup.com","2023/06/12 16:56:03.08","FDE9BBC9A9FAC4FDE0539696500A8BAE"
"Block Global B.V. (NL) - 311","80","Y","shashi@squareup.com","2023/06/12 17:23:00.0","shashi@squareup.com","2023/06/12 17:23:00.05","FDEF8E7E20A26638E0539696500AA5BC"
"Block Global B.V. (NL) - 311","120","Y","shashi@squareup.com","2023/06/12 17:23:00.013","shashi@squareup.com","2023/06/12 17:23:00.053","FDEF8E7E20A26638E0539696500AA5BC"
"Block XYZ Limited (IE) - 326","80","Y","shashi@squareup.com","2023/02/27 07:23:35.0","shashi@squareup.com","2023/02/27 07:23:35.033","F58B9794253BB9A2E0534893500A6529"
"Block XYZ Limited (IE) - 326","120","Y","shashi@squareup.com","2023/02/27 07:23:35.007","shashi@squareup.com","2023/02/27 07:23:35.034","F58B9794253BB9A2E0534893500A6529"
"Block, Inc. (US) - 101","80","Y","asagade@block.xyz","2024/12/27 07:10:11.0","asagade@block.xyz","2024/12/27 07:10:11.203","2A30E4B8E27C3903E0634893500A8BBB"
"Block, Inc. (US) - 101","120","Y","asagade@block.xyz","2024/12/27 07:10:11.038","asagade@block.xyz","2024/12/27 07:10:11.211","2A30E4B8E27C3903E0634893500A8BBB"
"Block, Inc. (US) - 101","130","Y","asagade@block.xyz","2024/12/27 07:10:11.036","asagade@block.xyz","2024/12/27 07:10:11.209","2A30E4B8E27C3903E0634893500A8BBB"
"Canada","10","Y","pavan@squareup.com","2018/06/07 17:00:08.029","pavan@squareup.com","2018/06/07 17:00:10.627","6B8434832C895673E053140C1B0AE90E"
"Canada","20","Y","pavan@squareup.com","2018/06/07 17:00:08.031","pavan@squareup.com","2018/06/07 17:00:10.627","6B8434832C895673E053140C1B0AE90E"
"Canada","30","Y","pavan@squareup.com","2018/06/07 17:00:08.0","pavan@squareup.com","2018/06/07 17:00:10.618","6B8434832C895673E053140C1B0AE90E"
"Canada","40","Y","pavan@squareup.com","2018/06/07 17:00:08.022","pavan@squareup.com","2018/06/07 17:00:10.624","6B8434832C895673E053140C1B0AE90E"
"Canada","50","Y","pavan@squareup.com","2018/06/07 17:00:08.043","pavan@squareup.com","2018/06/07 17:00:10.634","6B8434832C895673E053140C1B0AE90E"
"Canada","70","Y","pavan@squareup.com","2018/06/07 17:00:08.017","pavan@squareup.com","2018/06/07 17:00:10.622","6B8434832C895673E053140C1B0AE90E"
"Canada","80","Y","pavan@squareup.com","2018/06/07 17:00:08.027","pavan@squareup.com","2018/06/07 17:00:10.626","6B8434832C895673E053140C1B0AE90E"
"Canada","90","Y","pavan@squareup.com","2018/06/07 17:00:08.02","pavan@squareup.com","2018/06/07 17:00:10.623","6B8434832C895673E053140C1B0AE90E"
"Canada","110","Y","pavan@squareup.com","2018/06/07 17:00:08.033","pavan@squareup.com","2018/06/07 17:00:10.628","6B8434832C895673E053140C1B0AE90E"
"Canada","120","Y","pavan@squareup.com","2018/06/07 17:00:08.038","pavan@squareup.com","2018/06/07 17:00:10.631","6B8434832C895673E053140C1B0AE90E"
"Canada","130","Y","pavan@squareup.com","2018/06/07 17:00:08.036","pavan@squareup.com","2018/06/07 17:00:10.63","6B8434832C895673E053140C1B0AE90E"
"Canada","140","Y","pavan@squareup.com","2018/06/07 17:00:08.023","pavan@squareup.com","2018/06/07 17:00:10.625","6B8434832C895673E053140C1B0AE90E"
"Canada","160","Y","pavan@squareup.com","2018/06/07 17:00:08.041","pavan@squareup.com","2018/06/07 17:00:10.633","6B8434832C895673E053140C1B0AE90E"
"Canada","180","Y","pavan@squareup.com","2018/06/07 17:00:08.035","pavan@squareup.com","2018/06/07 17:00:10.629","6B8434832C895673E053140C1B0AE90E"
"Canada","190","Y","pavan@squareup.com","2018/06/07 17:00:08.025","pavan@squareup.com","2018/06/07 17:00:10.625","6B8434832C895673E053140C1B0AE90E"
"Canada","200","Y","pavan@squareup.com","2018/06/07 17:00:08.04","pavan@squareup.com","2018/06/07 17:00:10.633","6B8434832C895673E053140C1B0AE90E"
"Cash App Canada Payments ULC - 154","80","Y","shashi@squareup.com","2023/01/10 11:05:03.0","shashi@squareup.com","2023/01/10 11:05:03.245","F1E3A2B28B69E409E0534893500A64B3"
"Cash App Canada Payments ULC - 154","120","Y","shashi@squareup.com","2023/01/10 11:05:03.048","shashi@squareup.com","2023/01/10 11:05:03.264","F1E3A2B28B69E409E0534893500A64B3"
"Cash App Innovation (IE) Limited - 319","80","Y","abhinand@squareup.com","2021/01/20 06:14:54.0","abhinand@squareup.com","2021/01/20 06:14:54.123","B71C38586F13A12EE053A162500A847A"
"Cash App Innovation (IE) Limited - 319","120","Y","abhinand@squareup.com","2021/01/20 06:14:54.025","abhinand@squareup.com","2021/01/20 06:14:54.127","B71C38586F13A12EE053A162500A847A"
"Cash App Innovation (UK) Ltd - 304","80","Y","abhinand@squareup.com","2021/01/20 06:10:52.0","abhinand@squareup.com","2021/01/20 06:10:52.127","B71C38586F13A12EE053A162500A847A"
"Cash App Innovation (UK) Ltd - 304","120","Y","abhinand@squareup.com","2021/01/20 06:10:52.027","abhinand@squareup.com","2021/01/20 06:10:52.132","B71C38586F13A12EE053A162500A847A"
"Cash App Investing LLC - 114","80","Y","raghavender@squareup.com","2020/07/18 16:33:22.0","raghavender@squareup.com","2020/07/18 16:33:22.302","A618A074D618E635E053120C1B0ADD6D"
"Cash App Investing LLC - 114","120","Y","raghavender@squareup.com","2020/07/18 16:33:22.07","raghavender@squareup.com","2020/07/18 16:33:22.314","A618A074D618E635E053120C1B0ADD6D"
"Cash App Taxes, Inc. (US) - 116","80","Y","vinay@squareup.com","2020/11/12 13:19:23.0","vinay@squareup.com","2020/11/12 13:19:23.233","AD74943EF6D7A4DAE053140C1B0AEF95"
"Cash App Taxes, Inc. (US) - 116","120","Y","vinay@squareup.com","2020/11/12 13:19:23.054","vinay@squareup.com","2020/11/12 13:19:23.24","AD74943EF6D7A4DAE053140C1B0AEF95"
"Cash App World Ltd - 149","80","Y","asagade@block.xyz","2024/01/25 08:18:06.0","asagade@block.xyz","2024/01/25 08:18:06.191","0FB863AF433D216CE0639696500A1714"
"Cash App World Ltd - 149","120","Y","asagade@block.xyz","2024/01/25 08:18:06.036","asagade@block.xyz","2024/01/25 08:18:06.198","0FB863AF433D216CE0639696500A1714"
"China","10","Y","viyan@squareup.com","2023/02/28 12:02:34.044","viyan@squareup.com","2023/02/28 12:02:36.331","F5C24CCD9AF7ACFBE0539696500AE590"
"China","20","Y","viyan@squareup.com","2023/02/28 12:02:34.047","viyan@squareup.com","2023/02/28 12:02:36.332","F5C24CCD9AF7ACFBE0539696500AE590"
"China","40","Y","viyan@squareup.com","2023/02/28 12:02:34.0","viyan@squareup.com","2023/02/28 12:02:36.243","F5C24CCD9AF7ACFBE0539696500AE590"
"China","80","Y","viyan@squareup.com","2023/02/28 12:02:34.04","viyan@squareup.com","2023/02/28 12:02:36.33","F5C24CCD9AF7ACFBE0539696500AE590"
"China","110","Y","viyan@squareup.com","2023/02/28 12:02:34.051","viyan@squareup.com","2023/02/28 12:02:36.333","F5C24CCD9AF7ACFBE0539696500AE590"
"China","180","Y","viyan@squareup.com","2023/02/28 12:02:34.055","viyan@squareup.com","2023/02/28 12:02:36.334","F5C24CCD9AF7ACFBE0539696500AE590"
"China USD","10","Y","viyan@squareup.com","2022/06/09 10:28:10.011","viyan@squareup.com","2022/06/09 10:28:10.574","E0F8A667A219DD8AE0539696500A8687"
"China USD","20","Y","viyan@squareup.com","2022/06/09 10:28:10.012","viyan@squareup.com","2022/06/09 10:28:10.576","E0F8A667A219DD8AE0539696500A8687"
"China USD","30","Y","viyan@squareup.com","2022/06/09 10:28:10.0","viyan@squareup.com","2022/06/09 10:28:10.569","E0F8A667A219DD8AE0539696500A8687"
"China USD","40","Y","viyan@squareup.com","2022/06/09 10:28:10.01","viyan@squareup.com","2022/06/09 10:28:10.574","E0F8A667A219DD8AE0539696500A8687"
"China USD","70","Y","viyan@squareup.com","2022/06/09 10:28:10.007","viyan@squareup.com","2022/06/09 10:28:10.572","E0F8A667A219DD8AE0539696500A8687"
"China USD","90","Y","viyan@squareup.com","2022/06/09 10:28:10.009","viyan@squareup.com","2022/06/09 10:28:10.573","E0F8A667A219DD8AE0539696500A8687"
"China USD","110","Y","viyan@squareup.com","2022/06/09 10:28:10.013","viyan@squareup.com","2022/06/09 10:28:10.576","E0F8A667A219DD8AE0539696500A8687"
"China USD","130","Y","viyan@squareup.com","2022/06/09 10:28:10.015","viyan@squareup.com","2022/06/09 10:28:10.577","E0F8A667A219DD8AE0539696500A8687"
"China USD","180","Y","viyan@squareup.com","2022/06/09 10:28:10.014","viyan@squareup.com","2022/06/09 10:28:10.577","E0F8A667A219DD8AE0539696500A8687"
"China USD","190","Y","viyan@squareup.com","2022/06/09 10:37:44.0","viyan@squareup.com","2022/06/09 10:37:44.025","E0F8A667A219DD8AE0539696500A8687"
"China USD","200","Y","viyan@squareup.com","2022/06/09 10:28:10.016","viyan@squareup.com","2022/06/09 10:28:10.578","E0F8A667A219DD8AE0539696500A8687"
"Clearpay Finance Limited (UK) - 335","80","Y","viyan@squareup.com","2022/06/09 10:21:43.0","viyan@squareup.com","2022/06/09 10:21:43.026","E0F8A667A219DD8AE0539696500A8687"
"Clearpay Finance Limited (UK) - 335","120","Y","viyan@squareup.com","2022/06/09 10:21:43.005","viyan@squareup.com","2022/06/09 10:21:43.028","E0F8A667A219DD8AE0539696500A8687"
"Clearpay S.A.U. (ES) - 338","80","Y","viyan@squareup.com","2022/06/09 10:16:44.0","viyan@squareup.com","2022/06/09 10:16:44.033","E0F8A667A219DD8AE0539696500A8687"
"Clearpay S.A.U. (ES) - 338","120","Y","viyan@squareup.com","2022/06/09 10:16:44.007","viyan@squareup.com","2022/06/09 10:16:44.035","E0F8A667A219DD8AE0539696500A8687"
"Clearpay Technology S.L. (ES) - 339","80","Y","viyan@squareup.com","2022/06/09 10:17:41.0","viyan@squareup.com","2022/06/09 10:17:41.026","E0F8A667A219DD8AE0539696500A8687"
"Clearpay Technology S.L. (ES) - 339","120","Y","viyan@squareup.com","2022/06/09 10:17:41.004","viyan@squareup.com","2022/06/09 10:17:41.027","E0F8A667A219DD8AE0539696500A8687"
"Decentralized Global Payments, SL - 313","80","Y","asagade@block.xyz","2024/01/25 09:09:40.0","asagade@block.xyz","2024/01/25 09:09:40.052","0FB863AF433D216CE0639696500A1714"
"Decentralized Global Payments, SL - 313","120","Y","asagade@block.xyz","2024/01/25 09:09:40.013","asagade@block.xyz","2024/01/25 09:09:40.056","0FB863AF433D216CE0639696500A1714"
"France","10","Y","viyan@squareup.com","2022/09/23 07:01:12.029","viyan@squareup.com","2022/09/23 07:01:15.613","E94C6972173419A6E0539696500A9B13"
"France","20","Y","viyan@squareup.com","2022/09/23 07:01:12.032","viyan@squareup.com","2022/09/23 07:01:15.614","E94C6972173419A6E0539696500A9B13"
"France","40","Y","viyan@squareup.com","2022/09/23 07:01:12.0","viyan@squareup.com","2022/09/23 07:01:15.604","E94C6972173419A6E0539696500A9B13"
"France","80","Y","viyan@squareup.com","2022/09/23 07:01:12.027","viyan@squareup.com","2022/09/23 07:01:15.61","E94C6972173419A6E0539696500A9B13"
"France","110","Y","viyan@squareup.com","2022/09/23 07:01:12.035","viyan@squareup.com","2022/09/23 07:01:15.615","E94C6972173419A6E0539696500A9B13"
"France","120","Y","viyan@squareup.com","2022/09/23 07:01:12.047","viyan@squareup.com","2022/09/23 07:01:20.108","E94C6972173419A6E0539696500A9B13"
"France","130","Y","viyan@squareup.com","2022/09/23 07:01:12.043","viyan@squareup.com","2022/09/23 07:01:15.617","E94C6972173419A6E0539696500A9B13"
"France","160","Y","viyan@squareup.com","2022/09/23 07:01:12.051","viyan@squareup.com","2022/09/23 07:01:20.111","E94C6972173419A6E0539696500A9B13"
"France","180","Y","viyan@squareup.com","2022/09/23 07:01:12.038","viyan@squareup.com","2022/09/23 07:01:15.616","E94C6972173419A6E0539696500A9B13"
"France","200","Y","viyan@squareup.com","2022/09/23 07:01:12.049","viyan@squareup.com","2022/09/23 07:01:20.109","E94C6972173419A6E0539696500A9B13"
"Global Risk Engagement B.V. (TWN) - 215","10","Y","viyan@squareup.com","2021/06/04 06:37:34.221","viyan@squareup.com","2021/06/04 06:37:39.059","C39983A111C2AC4FE053A062500A5750"
"Global Risk Engagement B.V. (TWN) - 215","20","Y","viyan@squareup.com","2021/06/04 06:37:34.226","viyan@squareup.com","2021/06/04 06:37:39.06","C39983A111C2AC4FE053A062500A5750"
"Global Risk Engagement B.V. (TWN) - 215","30","Y","viyan@squareup.com","2021/06/04 06:37:34.0","viyan@squareup.com","2021/06/04 06:37:39.036","C39983A111C2AC4FE053A062500A5750"
"Global Risk Engagement B.V. (TWN) - 215","40","Y","viyan@squareup.com","2021/06/04 06:37:34.19","viyan@squareup.com","2021/06/04 06:37:39.054","C39983A111C2AC4FE053A062500A5750"
"Global Risk Engagement B.V. (TWN) - 215","50","Y","viyan@squareup.com","2021/06/04 06:37:34.263","viyan@squareup.com","2021/06/04 06:37:39.07","C39983A111C2AC4FE053A062500A5750"
"Global Risk Engagement B.V. (TWN) - 215","70","Y","viyan@squareup.com","2021/06/04 06:37:34.186","viyan@squareup.com","2021/06/04 06:37:39.048","C39983A111C2AC4FE053A062500A5750"
"Global Risk Engagement B.V. (TWN) - 215","80","Y","viyan@squareup.com","2021/06/04 06:37:34.216","viyan@squareup.com","2021/06/04 06:37:39.058","C39983A111C2AC4FE053A062500A5750"
"Global Risk Engagement B.V. (TWN) - 215","90","Y","viyan@squareup.com","2021/06/04 06:37:34.188","viyan@squareup.com","2021/06/04 06:37:39.052","C39983A111C2AC4FE053A062500A5750"
"Global Risk Engagement B.V. (TWN) - 215","100","Y","viyan@squareup.com","2021/06/04 06:37:34.235","viyan@squareup.com","2021/06/04 06:37:39.064","C39983A111C2AC4FE053A062500A5750"
"Global Risk Engagement B.V. (TWN) - 215","110","Y","viyan@squareup.com","2021/06/04 06:37:34.23","viyan@squareup.com","2021/06/04 06:37:39.061","C39983A111C2AC4FE053A062500A5750"
"Global Risk Engagement B.V. (TWN) - 215","120","Y","viyan@squareup.com","2021/06/04 06:37:34.248","viyan@squareup.com","2021/06/04 06:37:39.067","C39983A111C2AC4FE053A062500A5750"
"Global Risk Engagement B.V. (TWN) - 215","130","Y","viyan@squareup.com","2021/06/04 06:37:34.239","viyan@squareup.com","2021/06/04 06:37:39.066","C39983A111C2AC4FE053A062500A5750"
"Global Risk Engagement B.V. (TWN) - 215","140","Y","viyan@squareup.com","2021/06/04 06:37:34.193","viyan@squareup.com","2021/06/04 06:37:39.055","C39983A111C2AC4FE053A062500A5750"
"Global Risk Engagement B.V. (TWN) - 215","160","Y","viyan@squareup.com","2021/06/04 06:37:34.258","viyan@squareup.com","2021/06/04 06:37:39.069","C39983A111C2AC4FE053A062500A5750"
"Global Risk Engagement B.V. (TWN) - 215","180","Y","viyan@squareup.com","2021/06/04 06:37:34.233","viyan@squareup.com","2021/06/04 06:37:39.063","C39983A111C2AC4FE053A062500A5750"
"Global Risk Engagement B.V. (TWN) - 215","190","Y","viyan@squareup.com","2021/06/04 06:37:34.198","viyan@squareup.com","2021/06/04 06:37:39.056","C39983A111C2AC4FE053A062500A5750"
"Global Risk Engagement B.V. (TWN) - 215","200","Y","viyan@squareup.com","2021/06/04 06:37:34.254","viyan@squareup.com","2021/06/04 06:37:39.068","C39983A111C2AC4FE053A062500A5750"
"Global Risk Engagement B.V. (TWN) - 215","210","Y","viyan@squareup.com","2021/06/04 06:37:34.206","viyan@squareup.com","2021/06/04 06:37:39.057","C39983A111C2AC4FE053A062500A5750"
"Indonesia IDR","10","Y","viyan@squareup.com","2022/06/09 10:30:34.012","viyan@squareup.com","2022/06/09 10:30:34.083","E0F8A667A219DD8AE0539696500A8687"
"Indonesia IDR","20","Y","viyan@squareup.com","2022/06/09 10:30:34.013","viyan@squareup.com","2022/06/09 10:30:34.084","E0F8A667A219DD8AE0539696500A8687"
"Indonesia IDR","30","Y","viyan@squareup.com","2022/06/09 10:30:34.0","viyan@squareup.com","2022/06/09 10:30:34.078","E0F8A667A219DD8AE0539696500A8687"
