"PO_DOCUMENT_TYPE.ShortCode","PO_DOCUMENT_TYPE.TypeName","CreatedBy","CreationDate","DocumentSubtype","DocumentTypeCode","Language","LastUpdateDate","LastUpdateLogin","LastUpdatedBy","SourceLang","TypeName"
"Bitcoin HW NL","Blanket Purchase Agreement","sqinterface_oracle@squareup.com","2023/06/20 05:18:51.582","BLANKET","PA","US","2023/06/20 05:19:53.451","FE7D9AB47A29D884E0534893500AFB35","sqinterface_oracle@squareup.com","US","Blanket Purchase Agreement"
"Bitcoin HW NL","Contract Purchase Agreement","sqinterface_oracle@squareup.com","2023/06/20 05:18:51.606","CONTRACT","PA","US","2023/06/20 05:19:53.452","FE7D9AB47A29D884E0534893500AFB35","sqinterface_oracle@squareup.com","US","Contract Purchase Agreement"
"Bitcoin HW NL","Purchase Order","sqinterface_oracle@squareup.com","2023/06/20 05:18:51.613","STANDARD","PO","US","2023/06/20 05:19:53.453","FE7D9AB47A29D884E0534893500AFB35","sqinterface_oracle@squareup.com","US","Purchase Order"
"Bitcoin HW NL","RFI","sqinterface_oracle@squareup.com","2023/06/20 05:18:51.618","SOURCING RFI","SOURCING RFI","US","2023/06/20 05:19:53.456","FE7D9AB47A29D884E0534893500AFB35","sqinterface_oracle@squareup.com","US","RFI"
"Bitcoin HW NL","RFQ","sqinterface_oracle@squareup.com","2023/06/20 05:18:51.624","SOURCING RFQ","SOURCING RFQ","US","2023/06/20 05:19:53.457","FE7D9AB47A29D884E0534893500AFB35","sqinterface_oracle@squareup.com","US","RFQ"
"Sweden","Auction","shashi@squareup.com","2023/02/27 08:05:28.026","BUYER AUCTION","AUCTION","US","2023/02/27 08:07:25.266","F58B9794253BB9A2E0534893500A6529","shashi@squareup.com","US","Auction"
"Sweden","Blanket Purchase Agreement","shashi@squareup.com","2023/02/27 08:05:28.04","BLANKET","PA","US","2023/02/27 08:07:25.27","F58B9794253BB9A2E0534893500A6529","shashi@squareup.com","US","Blanket Purchase Agreement"
"Sweden","Contract Purchase Agreement","shashi@squareup.com","2023/02/27 08:05:28.054","CONTRACT","PA","US","2023/02/27 08:07:25.272","F58B9794253BB9A2E0534893500A6529","shashi@squareup.com","US","Contract Purchase Agreement"
"Sweden","Purchase Order","shashi@squareup.com","2023/02/27 08:05:28.065","STANDARD","PO","US","2023/02/27 08:07:25.275","F58B9794253BB9A2E0534893500A6529","shashi@squareup.com","US","Purchase Order"
"Sweden","RFI","shashi@squareup.com","2023/02/27 08:05:28.075","SOURCING RFI","SOURCING RFI","US","2023/02/27 08:07:25.278","F58B9794253BB9A2E0534893500A6529","shashi@squareup.com","US","RFI"
"Sweden","RFQ","shashi@squareup.com","2023/02/27 08:05:28.085","SOURCING RFQ","SOURCING RFQ","US","2023/02/27 08:07:25.281","F58B9794253BB9A2E0534893500A6529","shashi@squareup.com","US","RFQ"
"Square Financial Services (US) - 131","Auction","srimanth@squareup.com","2021/02/26 19:59:22.727","BUYER AUCTION","AUCTION","US","2021/02/26 20:07:32.962","BBD527FC822E1668E053A062500AEA1E","srimanth@squareup.com","US","Auction"
"Square Financial Services (US) - 131","Blanket Purchase Agreement","srimanth@squareup.com","2021/02/26 19:59:22.78","BLANKET","PA","US","2021/02/26 20:07:32.969","BBD527FC822E1668E053A062500AEA1E","srimanth@squareup.com","US","Blanket Purchase Agreement"
"Square Financial Services (US) - 131","Contract Purchase Agreement","srimanth@squareup.com","2021/02/26 19:59:22.842","CONTRACT","PA","US","2021/02/26 20:07:32.971","BBD527FC822E1668E053A062500AEA1E","srimanth@squareup.com","US","Contract Purchase Agreement"
"Square Financial Services (US) - 131","Purchase Order","srimanth@squareup.com","2021/02/26 19:59:22.849","STANDARD","PO","US","2021/02/26 20:07:32.973","BBD527FC822E1668E053A062500AEA1E","srimanth@squareup.com","US","Purchase Order"
"Square Financial Services (US) - 131","RFI","srimanth@squareup.com","2021/02/26 19:59:22.856","SOURCING RFI","SOURCING RFI","US","2021/02/26 20:07:32.975","BBD527FC822E1668E053A062500AEA1E","srimanth@squareup.com","US","RFI"
"Square Financial Services (US) - 131","RFQ","srimanth@squareup.com","2021/02/26 19:59:22.868","SOURCING RFQ","SOURCING RFQ","US","2021/02/26 20:07:32.977","BBD527FC822E1668E053A062500AEA1E","srimanth@squareup.com","US","RFQ"
"Global Risk Engagement B.V. (TWN) - 215","Auction","phani@squareup.com","2021/06/04 09:49:45.138","BUYER AUCTION","AUCTION","US","2021/06/04 09:56:00.18","C39972CF72BDAC1FE053A062500AF938","phani@squareup.com","US","Auction"
"Global Risk Engagement B.V. (TWN) - 215","Blanket Purchase Agreement","phani@squareup.com","2021/06/04 09:49:45.34","BLANKET","PA","US","2021/06/04 09:56:00.187","C39972CF72BDAC1FE053A062500AF938","phani@squareup.com","US","Blanket Purchase Agreement"
"Global Risk Engagement B.V. (TWN) - 215","Contract Purchase Agreement","phani@squareup.com","2021/06/04 09:49:45.52","CONTRACT","PA","US","2021/06/04 09:56:00.191","C39972CF72BDAC1FE053A062500AF938","phani@squareup.com","US","Contract Purchase Agreement"
"Global Risk Engagement B.V. (TWN) - 215","Purchase Order","phani@squareup.com","2021/06/04 09:49:45.527","STANDARD","PO","US","2021/06/04 09:56:00.194","C39972CF72BDAC1FE053A062500AF938","phani@squareup.com","US","Purchase Order"
"Global Risk Engagement B.V. (TWN) - 215","RFI","phani@squareup.com","2021/06/04 09:49:45.532","SOURCING RFI","SOURCING RFI","US","2021/06/04 09:56:00.197","C39972CF72BDAC1FE053A062500AF938","phani@squareup.com","US","RFI"
"Global Risk Engagement B.V. (TWN) - 215","RFQ","phani@squareup.com","2021/06/04 09:49:45.604","SOURCING RFQ","SOURCING RFQ","US","2021/06/04 09:56:00.199","C39972CF72BDAC1FE053A062500AF938","phani@squareup.com","US","RFQ"
"Spain","Auction","phani@squareup.com","2021/01/12 07:42:00.801","BUYER AUCTION","AUCTION","US","2021/01/12 07:46:54.434","B71C07CF1B000E75E053A062500A39E7","phani@squareup.com","US","Auction"
"Spain","Blanket Purchase Agreement","phani@squareup.com","2021/01/12 07:42:00.861","BLANKET","PA","US","2021/01/12 07:46:54.44","B71C07CF1B000E75E053A062500A39E7","phani@squareup.com","US","Blanket Purchase Agreement"
"Spain","Contract Purchase Agreement","phani@squareup.com","2021/01/12 07:42:00.925","CONTRACT","PA","US","2021/01/12 07:46:54.442","B71C07CF1B000E75E053A062500A39E7","phani@squareup.com","US","Contract Purchase Agreement"
"Spain","Purchase Order","phani@squareup.com","2021/01/12 07:42:00.934","STANDARD","PO","US","2021/01/12 07:46:54.444","B71C07CF1B000E75E053A062500A39E7","phani@squareup.com","US","Purchase Order"
"Spain","RFI","phani@squareup.com","2021/01/12 07:42:00.942","SOURCING RFI","SOURCING RFI","US","2021/01/12 07:46:54.446","B71C07CF1B000E75E053A062500A39E7","phani@squareup.com","US","RFI"
"Spain","RFQ","phani@squareup.com","2021/01/12 07:42:00.953","SOURCING RFQ","SOURCING RFQ","US","2021/01/12 07:46:54.447","B71C07CF1B000E75E053A062500A39E7","phani@squareup.com","US","RFQ"
"Canada","Auction","venkat@squareup.com","2018/06/10 21:59:28.065","BUYER AUCTION","AUCTION","US","2018/06/10 22:00:20.803","6B851F75CF33BC8BE053120C1B0A0CAA","venkat@squareup.com","US","Auction"
"Canada","Blanket Purchase Agreement","venkat@squareup.com","2018/06/10 21:59:28.11","BLANKET","PA","US","2018/06/10 22:00:20.805","6B851F75CF33BC8BE053120C1B0A0CAA","venkat@squareup.com","US","Blanket Purchase Agreement"
"Canada","Contract Purchase Agreement","venkat@squareup.com","2018/06/10 21:59:28.128","CONTRACT","PA","US","2018/06/10 22:00:20.807","6B851F75CF33BC8BE053120C1B0A0CAA","venkat@squareup.com","US","Contract Purchase Agreement"
"Canada","Purchase Order","venkat@squareup.com","2018/06/10 21:59:28.14","STANDARD","PO","US","2018/06/10 22:00:20.81","6B851F75CF33BC8BE053120C1B0A0CAA","venkat@squareup.com","US","Purchase Order"
"Canada","RFI","venkat@squareup.com","2018/06/10 21:59:28.153","SOURCING RFI","SOURCING RFI","US","2018/06/10 22:00:20.811","6B851F75CF33BC8BE053120C1B0A0CAA","venkat@squareup.com","US","RFI"
"Canada","RFQ","venkat@squareup.com","2018/06/10 21:59:28.18","SOURCING RFQ","SOURCING RFQ","US","2018/06/10 22:00:20.813","6B851F75CF33BC8BE053120C1B0A0CAA","venkat@squareup.com","US","RFQ"
"USD - International","Auction","shashi@squareup.com","2023/02/27 08:12:04.031","BUYER AUCTION","AUCTION","US","2023/02/27 08:13:39.169","F58B9794253BB9A2E0534893500A6529","shashi@squareup.com","US","Auction"
"USD - International","Blanket Purchase Agreement","shashi@squareup.com","2023/02/27 08:12:04.045","BLANKET","PA","US","2023/02/27 08:13:39.172","F58B9794253BB9A2E0534893500A6529","shashi@squareup.com","US","Blanket Purchase Agreement"
"USD - International","Contract Purchase Agreement","shashi@squareup.com","2023/02/27 08:12:04.057","CONTRACT","PA","US","2023/02/27 08:13:39.175","F58B9794253BB9A2E0534893500A6529","shashi@squareup.com","US","Contract Purchase Agreement"
"USD - International","Purchase Order","shashi@squareup.com","2023/02/27 08:12:04.072","STANDARD","PO","US","2023/02/27 08:13:39.178","F58B9794253BB9A2E0534893500A6529","shashi@squareup.com","US","Purchase Order"
"USD - International","RFI","shashi@squareup.com","2023/02/27 08:12:04.08","SOURCING RFI","SOURCING RFI","US","2023/02/27 08:13:39.181","F58B9794253BB9A2E0534893500A6529","shashi@squareup.com","US","RFI"
"USD - International","RFQ","shashi@squareup.com","2023/02/27 08:12:04.089","SOURCING RFQ","SOURCING RFQ","US","2023/02/27 08:13:39.183","F58B9794253BB9A2E0534893500A6529","shashi@squareup.com","US","RFQ"
"Bitcoin HW US","Auction","sqinterface_oracle@squareup.com","2023/06/20 05:15:21.632","BUYER AUCTION","AUCTION","US","2023/06/20 05:17:55.618","FE7D9AB47A29D884E0534893500AFB35","sqinterface_oracle@squareup.com","US","Auction"
"Bitcoin HW US","Blanket Purchase Agreement","sqinterface_oracle@squareup.com","2023/06/20 05:15:21.687","BLANKET","PA","US","2023/06/20 05:17:55.625","FE7D9AB47A29D884E0534893500AFB35","sqinterface_oracle@squareup.com","US","Blanket Purchase Agreement"
"Bitcoin HW US","Contract Purchase Agreement","sqinterface_oracle@squareup.com","2023/06/20 05:15:21.807","CONTRACT","PA","US","2023/06/20 05:17:55.628","FE7D9AB47A29D884E0534893500AFB35","sqinterface_oracle@squareup.com","US","Contract Purchase Agreement"
"Bitcoin HW US","Purchase Order","sqinterface_oracle@squareup.com","2023/06/20 05:15:21.812","STANDARD","PO","US","2023/06/20 05:17:55.629","FE7D9AB47A29D884E0534893500AFB35","sqinterface_oracle@squareup.com","US","Purchase Order"
"Bitcoin HW US","RFI","sqinterface_oracle@squareup.com","2023/06/20 05:15:21.817","SOURCING RFI","SOURCING RFI","US","2023/06/20 05:17:55.631","FE7D9AB47A29D884E0534893500AFB35","sqinterface_oracle@squareup.com","US","RFI"
"Bitcoin HW US","RFQ","sqinterface_oracle@squareup.com","2023/06/20 05:15:21.837","SOURCING RFQ","SOURCING RFQ","US","2023/06/20 05:17:55.634","FE7D9AB47A29D884E0534893500AFB35","sqinterface_oracle@squareup.com","US","RFQ"
"US","Auction","venkat@squareup.com","2018/06/10 21:53:08.395","BUYER AUCTION","AUCTION","US","2018/06/10 21:57:52.175","6B851F75CF33BC8BE053120C1B0A0CAA","venkat@squareup.com","US","Auction"
"US","Blanket Purchase Agreement","venkat@squareup.com","2018/06/10 21:53:08.507","BLANKET","PA","US","2018/06/10 21:57:52.212","6B851F75CF33BC8BE053120C1B0A0CAA","venkat@squareup.com","US","Blanket Purchase Agreement"
"US","Contract Purchase Agreement","venkat@squareup.com","2018/06/10 21:53:08.758","CONTRACT","PA","US","2018/06/10 21:57:52.215","6B851F75CF33BC8BE053120C1B0A0CAA","venkat@squareup.com","US","Contract Purchase Agreement"
"US","Purchase Order","venkat@squareup.com","2018/06/10 21:53:08.774","STANDARD","PO","US","2018/06/10 21:57:52.262","6B851F75CF33BC8BE053120C1B0A0CAA","venkat@squareup.com","US","Purchase Order"
"US","RFI","venkat@squareup.com","2018/06/10 21:53:08.797","SOURCING RFI","SOURCING RFI","US","2018/06/10 21:57:52.265","6B851F75CF33BC8BE053120C1B0A0CAA","venkat@squareup.com","US","RFI"
"US","RFQ","venkat@squareup.com","2018/06/10 21:53:08.842","SOURCING RFQ","SOURCING RFQ","US","2018/06/10 21:57:52.268","6B851F75CF33BC8BE053120C1B0A0CAA","venkat@squareup.com","US","RFQ"
"Tidal Japan","Auction","phani@squareup.com","2021/12/15 12:23:44.023","BUYER AUCTION","AUCTION","US","2021/12/15 12:24:41.381","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","Auction"
"Tidal Japan","Blanket Purchase Agreement","phani@squareup.com","2021/12/15 12:23:44.033","BLANKET","PA","US","2021/12/15 12:24:41.383","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","Blanket Purchase Agreement"
"Tidal Japan","Contract Purchase Agreement","phani@squareup.com","2021/12/15 12:23:44.04","CONTRACT","PA","US","2021/12/15 12:24:41.385","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","Contract Purchase Agreement"
"Tidal Japan","Purchase Order","phani@squareup.com","2021/12/15 12:23:44.047","STANDARD","PO","US","2021/12/15 12:24:41.386","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","Purchase Order"
"Tidal Japan","RFI","phani@squareup.com","2021/12/15 12:23:44.053","SOURCING RFI","SOURCING RFI","US","2021/12/15 12:24:41.388","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","RFI"
"Tidal Japan","RFQ","phani@squareup.com","2021/12/15 12:23:44.059","SOURCING RFQ","SOURCING RFQ","US","2021/12/15 12:24:41.389","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","RFQ"
"Squareup GmbH (DE) - 317","Auction","phani@squareup.com","2021/08/11 09:55:45.02","BUYER AUCTION","AUCTION","US","2021/08/11 09:59:06.679","C8656B94ACF3BC2DE053A162500A259D","phani@squareup.com","US","Auction"
"Squareup GmbH (DE) - 317","Blanket Purchase Agreement","phani@squareup.com","2021/08/11 09:55:45.031","BLANKET","PA","US","2021/08/11 09:59:06.694","C8656B94ACF3BC2DE053A162500A259D","phani@squareup.com","US","Blanket Purchase Agreement"
"Squareup GmbH (DE) - 317","Contract Purchase Agreement","phani@squareup.com","2021/08/11 09:55:45.039","CONTRACT","PA","US","2021/08/11 09:59:06.699","C8656B94ACF3BC2DE053A162500A259D","phani@squareup.com","US","Contract Purchase Agreement"
"Squareup GmbH (DE) - 317","Purchase Order","phani@squareup.com","2021/08/11 09:55:45.044","STANDARD","PO","US","2021/08/11 09:59:06.701","C8656B94ACF3BC2DE053A162500A259D","phani@squareup.com","US","Purchase Order"
"Squareup GmbH (DE) - 317","RFI","phani@squareup.com","2021/08/11 09:55:45.05","SOURCING RFI","SOURCING RFI","US","2021/08/11 09:59:06.704","C8656B94ACF3BC2DE053A162500A259D","phani@squareup.com","US","RFI"
"Squareup GmbH (DE) - 317","RFQ","phani@squareup.com","2021/08/11 09:55:45.056","SOURCING RFQ","SOURCING RFQ","US","2021/08/11 09:59:06.706","C8656B94ACF3BC2DE053A162500A259D","phani@squareup.com","US","RFQ"
"Australia","Auction","venkat@squareup.com","2018/09/28 02:54:46.408","BUYER AUCTION","AUCTION","US","2018/09/28 03:02:47.696","760586B8BB3E72EEE053120C1B0A1C3B","venkat@squareup.com","US","Auction"
"Australia","Blanket Purchase Agreement","venkat@squareup.com","2018/09/28 02:54:46.5","BLANKET","PA","US","2018/09/28 03:02:47.702","760586B8BB3E72EEE053120C1B0A1C3B","venkat@squareup.com","US","Blanket Purchase Agreement"
"Australia","Contract Purchase Agreement","venkat@squareup.com","2018/09/28 02:54:46.8","CONTRACT","PA","US","2018/09/28 03:02:47.704","760586B8BB3E72EEE053120C1B0A1C3B","venkat@squareup.com","US","Contract Purchase Agreement"
"Australia","Purchase Order","venkat@squareup.com","2018/09/28 02:54:46.81","STANDARD","PO","US","2018/09/28 03:02:47.706","760586B8BB3E72EEE053120C1B0A1C3B","venkat@squareup.com","US","Purchase Order"
"Australia","RFI","venkat@squareup.com","2018/09/28 02:54:46.821","SOURCING RFI","SOURCING RFI","US","2018/09/28 03:02:47.708","760586B8BB3E72EEE053120C1B0A1C3B","venkat@squareup.com","US","RFI"
"Australia","RFQ","venkat@squareup.com","2018/09/28 02:54:46.85","SOURCING RFQ","SOURCING RFQ","US","2018/09/28 03:02:47.711","760586B8BB3E72EEE053120C1B0A1C3B","venkat@squareup.com","US","RFQ"
"Tidal US","Auction","phani@squareup.com","2021/12/15 12:31:29.019","BUYER AUCTION","AUCTION","US","2021/12/15 12:32:01.749","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","Auction"
"Tidal US","Blanket Purchase Agreement","phani@squareup.com","2021/12/15 12:31:29.027","BLANKET","PA","US","2021/12/15 12:32:01.751","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","Blanket Purchase Agreement"
"Tidal US","Contract Purchase Agreement","phani@squareup.com","2021/12/15 12:31:29.034","CONTRACT","PA","US","2021/12/15 12:32:01.753","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","Contract Purchase Agreement"
"Tidal US","Purchase Order","phani@squareup.com","2021/12/15 12:31:29.306","STANDARD","PO","US","2021/12/15 12:32:01.754","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","Purchase Order"
"Tidal US","RFI","phani@squareup.com","2021/12/15 12:31:29.314","SOURCING RFI","SOURCING RFI","US","2021/12/15 12:32:01.755","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","RFI"
"Tidal US","RFQ","phani@squareup.com","2021/12/15 12:31:29.319","SOURCING RFQ","SOURCING RFQ","US","2021/12/15 12:32:01.757","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","RFQ"
"Tidal Norway","Auction","phani@squareup.com","2021/12/15 12:24:56.019","BUYER AUCTION","AUCTION","US","2021/12/15 12:25:48.821","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","Auction"
"Tidal Norway","Blanket Purchase Agreement","phani@squareup.com","2021/12/15 12:24:56.027","BLANKET","PA","US","2021/12/15 12:25:48.823","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","Blanket Purchase Agreement"
"Tidal Norway","Contract Purchase Agreement","phani@squareup.com","2021/12/15 12:24:56.034","CONTRACT","PA","US","2021/12/15 12:25:48.825","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","Contract Purchase Agreement"
"Tidal Norway","Purchase Order","phani@squareup.com","2021/12/15 12:24:56.041","STANDARD","PO","US","2021/12/15 12:25:48.826","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","Purchase Order"
"Tidal Norway","RFI","phani@squareup.com","2021/12/15 12:24:56.047","SOURCING RFI","SOURCING RFI","US","2021/12/15 12:25:48.827","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","RFI"
"Tidal Norway","RFQ","phani@squareup.com","2021/12/15 12:24:56.052","SOURCING RFQ","SOURCING RFQ","US","2021/12/15 12:25:48.829","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","US","RFQ"
"China USD","Auction","phani@squareup.com","2022/06/09 19:50:14.015","BUYER AUCTION","AUCTION","US","2022/06/09 19:51:12.776","E0F9F58906A3F9B6E0539696500A6C4D","phani@squareup.com","US","Auction"
"China USD","Blanket Purchase Agreement","phani@squareup.com","2022/06/09 19:50:14.026","BLANKET","PA","US","2022/06/09 19:51:12.779","E0F9F58906A3F9B6E0539696500A6C4D","phani@squareup.com","US","Blanket Purchase Agreement"
"China USD","Contract Purchase Agreement","phani@squareup.com","2022/06/09 19:50:14.036","CONTRACT","PA","US","2022/06/09 19:51:12.78","E0F9F58906A3F9B6E0539696500A6C4D","phani@squareup.com","US","Contract Purchase Agreement"
"China USD","Purchase Order","phani@squareup.com","2022/06/09 19:50:14.045","STANDARD","PO","US","2022/06/09 19:51:12.782","E0F9F58906A3F9B6E0539696500A6C4D","phani@squareup.com","US","Purchase Order"
"China USD","RFI","phani@squareup.com","2022/06/09 19:50:14.053","SOURCING RFI","SOURCING RFI","US","2022/06/09 19:51:12.785","E0F9F58906A3F9B6E0539696500A6C4D","phani@squareup.com","US","RFI"
"China USD","RFQ","phani@squareup.com","2022/06/09 19:50:14.061","SOURCING RFQ","SOURCING RFQ","US","2022/06/09 19:51:12.786","E0F9F58906A3F9B6E0539696500A6C4D","phani@squareup.com","US","RFQ"
"New Zealand","Auction","phani@squareup.com","2022/06/09 19:32:44.63","BUYER AUCTION","AUCTION","US","2022/06/09 19:34:17.046","E0F9F58906A3F9B6E0539696500A6C4D","phani@squareup.com","US","Auction"
"New Zealand","Blanket Purchase Agreement","phani@squareup.com","2022/06/09 19:32:44.67","BLANKET","PA","US","2022/06/09 19:34:17.054","E0F9F58906A3F9B6E0539696500A6C4D","phani@squareup.com","US","Blanket Purchase Agreement"
"New Zealand","Contract Purchase Agreement","phani@squareup.com","2022/06/09 19:32:44.707","CONTRACT","PA","US","2022/06/09 19:34:17.058","E0F9F58906A3F9B6E0539696500A6C4D","phani@squareup.com","US","Contract Purchase Agreement"
"New Zealand","Purchase Order","phani@squareup.com","2022/06/09 19:32:44.714","STANDARD","PO","US","2022/06/09 19:34:17.059","E0F9F58906A3F9B6E0539696500A6C4D","phani@squareup.com","US","Purchase Order"
"New Zealand","RFI","phani@squareup.com","2022/06/09 19:32:44.721","SOURCING RFI","SOURCING RFI","US","2022/06/09 19:34:17.063","E0F9F58906A3F9B6E0539696500A6C4D","phani@squareup.com","US","RFI"
"New Zealand","RFQ","phani@squareup.com","2022/06/09 19:32:44.727","SOURCING RFQ","SOURCING RFQ","US","2022/06/09 19:34:17.066","E0F9F58906A3F9B6E0539696500A6C4D","phani@squareup.com","US","RFQ"
"Indonesia IDR","Auction","phani@squareup.com","2022/06/09 20:00:58.025","BUYER AUCTION","AUCTION","US","2022/06/09 20:01:48.551","E0F9F58906A3F9B6E0539696500A6C4D","phani@squareup.com","US","Auction"
"Indonesia IDR","Blanket Purchase Agreement","phani@squareup.com","2022/06/09 20:00:58.036","BLANKET","PA","US","2022/06/09 20:01:48.554","E0F9F58906A3F9B6E0539696500A6C4D","phani@squareup.com","US","Blanket Purchase Agreement"
"Indonesia IDR","Contract Purchase Agreement","phani@squareup.com","2022/06/09 20:00:58.058","CONTRACT","PA","US","2022/06/09 20:01:48.556","E0F9F58906A3F9B6E0539696500A6C4D","phani@squareup.com","US","Contract Purchase Agreement"
"Indonesia IDR","Purchase Order","phani@squareup.com","2022/06/09 20:00:58.083","STANDARD","PO","US","2022/06/09 20:01:48.557","E0F9F58906A3F9B6E0539696500A6C4D","phani@squareup.com","US","Purchase Order"
"Indonesia IDR","RFI","phani@squareup.com","2022/06/09 20:00:58.094","SOURCING RFI","SOURCING RFI","US","2022/06/09 20:01:48.559","E0F9F58906A3F9B6E0539696500A6C4D","phani@squareup.com","US","RFI"
