"ShortCode","TypeName","Attribute1","Attribute10","Attribute11","Attribute12","Attribute13","Attribute14","Attribute15","Attribute2","Attribute3","Attribute4","Attribute5","Attribute6","Attribute7","Attribute8","Attribute9","AttributeCategory","CoContTermsLayoutCode","CoLayoutTemplate","ContractTemplateCode","CreatedBy","CreationDate","DocumentSubtype","DocumentTemplateCode","DocumentTypeCode","LastUpdateDate","LastUpdateLogin","LastUpdatedBy","EnterpriseId","CoTemplateCode","ResponseTemplateCode","TemplateExistsFlag"
"Netherlands","Contract Purchase Agreement","","","","","","","","","","","","","","","","","ContractTermsProcurement","Contract Purchase Agreement Change Order Layout","ContractTermsProcurement","phani@squareup.com","2021/06/29 12:06:25.041","CONTRACT","Purchase Agreement Layout","PA","2021/06/29 12:08:38.276","C2E902B4A87D4FDCE053A162500A91A6","phani@squareup.com","1","CPA_CHANGE_ORDER_TEMPLATE","","N"
"Netherlands","Purchase Order","","","","","","","","","","","","","","","","","ContractTermsProcurement","Purchase Order Change Order Layout","ContractTermsProcurement","phani@squareup.com","2021/06/29 12:06:25.049","STANDARD","SQ Purchase Order Print Template PO Mask","PO","2021/06/29 12:08:38.278","C2E902B4A87D4FDCE053A162500A91A6","phani@squareup.com","1","PO_CHANGE_ORDER_TEMPLATE","","N"
"Bitcoin HW NL","Auction","","","","","","","","","","","","","","","","","ContractTermsProcurement","","ContractTermsProcurement","sqinterface_oracle@squareup.com","2023/06/20 05:18:51.517","BUYER AUCTION","Negotiation Layout","AUCTION","2023/06/20 05:19:53.448","FE7D9AB47A29D884E0534893500AFB35","sqinterface_oracle@squareup.com","1","","Response Layout","N"
"Bitcoin HW NL","Blanket Purchase Agreement","","","","","","","","","","","","","","","","","ContractTermsProcurement","Blanket Purchase Agreement Change Order Layout","ContractTermsProcurement","sqinterface_oracle@squareup.com","2023/06/20 05:18:51.581","BLANKET","Purchase Agreement Layout","PA","2023/06/20 05:19:53.45","FE7D9AB47A29D884E0534893500AFB35","sqinterface_oracle@squareup.com","1","BPA_CHANGE_ORDER_TEMPLATE","","N"
"Bitcoin HW NL","Contract Purchase Agreement","","","","","","","","","","","","","","","","","ContractTermsProcurement","Contract Purchase Agreement Change Order Layout","ContractTermsProcurement","sqinterface_oracle@squareup.com","2023/06/20 05:18:51.606","CONTRACT","Purchase Agreement Layout","PA","2023/06/20 05:19:53.451","FE7D9AB47A29D884E0534893500AFB35","sqinterface_oracle@squareup.com","1","CPA_CHANGE_ORDER_TEMPLATE","","N"
"Bitcoin HW NL","Purchase Order","","","","","","","","","","","","","","","","","ContractTermsProcurement","Purchase Order Change Order Layout","ContractTermsProcurement","sqinterface_oracle@squareup.com","2023/06/20 05:18:51.612","STANDARD","SQ Purchase Order Print Template PO Mask","PO","2024/01/13 00:42:40.272","0EBCD4E4B70A52ACE0639696500AAF41","sqinterface_oracle@squareup.com","1","PO_CHANGE_ORDER_TEMPLATE","","N"
"Bitcoin HW NL","RFI","","","","","","","","","","","","","","","","","ContractTermsProcurement","","ContractTermsProcurement","sqinterface_oracle@squareup.com","2023/06/20 05:18:51.618","SOURCING RFI","Negotiation Layout","SOURCING RFI","2023/06/20 05:19:53.455","FE7D9AB47A29D884E0534893500AFB35","sqinterface_oracle@squareup.com","1","","Response Layout","N"
"Bitcoin HW NL","RFQ","","","","","","","","","","","","","","","","","ContractTermsProcurement","","ContractTermsProcurement","sqinterface_oracle@squareup.com","2023/06/20 05:18:51.623","SOURCING RFQ","Negotiation Layout","SOURCING RFQ","2023/06/20 05:19:53.456","FE7D9AB47A29D884E0534893500AFB35","sqinterface_oracle@squareup.com","1","","Response Layout","N"
"Sweden","Auction","","","","","","","","","","","","","","","","","ContractTermsProcurement","","ContractTermsProcurement","shashi@squareup.com","2023/02/27 08:05:28.025","BUYER AUCTION","Negotiation Layout","AUCTION","2023/02/27 08:07:25.247","F58B9794253BB9A2E0534893500A6529","shashi@squareup.com","1","","Response Layout","N"
"Sweden","Blanket Purchase Agreement","","","","","","","","","","","","","","","","","ContractTermsProcurement","Blanket Purchase Agreement Change Order Layout","ContractTermsProcurement","shashi@squareup.com","2023/02/27 08:05:28.039","BLANKET","Purchase Agreement Layout","PA","2023/02/27 08:07:25.269","F58B9794253BB9A2E0534893500A6529","shashi@squareup.com","1","BPA_CHANGE_ORDER_TEMPLATE","","N"
"Sweden","Contract Purchase Agreement","","","","","","","","","","","","","","","","","ContractTermsProcurement","Contract Purchase Agreement Change Order Layout","ContractTermsProcurement","shashi@squareup.com","2023/02/27 08:05:28.053","CONTRACT","Purchase Agreement Layout","PA","2023/02/27 08:07:25.271","F58B9794253BB9A2E0534893500A6529","shashi@squareup.com","1","CPA_CHANGE_ORDER_TEMPLATE","","N"
"Sweden","Purchase Order","","","","","","","","","","","","","","","","","ContractTermsProcurement","Purchase Order Change Order Layout","ContractTermsProcurement","shashi@squareup.com","2023/02/27 08:05:28.064","STANDARD","Purchase Order Layout","PO","2023/02/27 08:07:25.274","F58B9794253BB9A2E0534893500A6529","shashi@squareup.com","1","PO_CHANGE_ORDER_TEMPLATE","","N"
"Sweden","RFI","","","","","","","","","","","","","","","","","ContractTermsProcurement","","ContractTermsProcurement","shashi@squareup.com","2023/02/27 08:05:28.074","SOURCING RFI","Negotiation Layout","SOURCING RFI","2023/02/27 08:07:25.277","F58B9794253BB9A2E0534893500A6529","shashi@squareup.com","1","","Response Layout","N"
"Sweden","RFQ","","","","","","","","","","","","","","","","","ContractTermsProcurement","","ContractTermsProcurement","shashi@squareup.com","2023/02/27 08:05:28.084","SOURCING RFQ","Negotiation Layout","SOURCING RFQ","2023/02/27 08:07:25.28","F58B9794253BB9A2E0534893500A6529","shashi@squareup.com","1","","Response Layout","N"
"Square Financial Services (US) - 131","Auction","","","","","","","","","","","","","","","","","ContractTermsProcurement","","ContractTermsProcurement","srimanth@squareup.com","2021/02/26 19:59:22.715","BUYER AUCTION","Negotiation Layout","AUCTION","2021/02/26 20:07:32.95","BBD527FC822E1668E053A062500AEA1E","srimanth@squareup.com","1","","Response Layout","N"
"Square Financial Services (US) - 131","Blanket Purchase Agreement","","","","","","","","","","","","","","","","","ContractTermsProcurement","Blanket Purchase Agreement Change Order Layout","ContractTermsProcurement","srimanth@squareup.com","2021/02/26 19:59:22.779","BLANKET","Purchase Agreement Layout","PA","2021/02/26 20:07:32.967","BBD527FC822E1668E053A062500AEA1E","srimanth@squareup.com","1","BPA_CHANGE_ORDER_TEMPLATE","","N"
"Square Financial Services (US) - 131","Contract Purchase Agreement","","","","","","","","","","","","","","","","","ContractTermsProcurement","Contract Purchase Agreement Change Order Layout","ContractTermsProcurement","srimanth@squareup.com","2021/02/26 19:59:22.841","CONTRACT","Purchase Agreement Layout","PA","2021/02/26 20:07:32.971","BBD527FC822E1668E053A062500AEA1E","srimanth@squareup.com","1","CPA_CHANGE_ORDER_TEMPLATE","","N"
"Square Financial Services (US) - 131","Purchase Order","","","","","","","","","","","","","","","","","ContractTermsProcurement","Purchase Order Change Order Layout","ContractTermsProcurement","srimanth@squareup.com","2021/02/26 19:59:22.848","STANDARD","Purchase Order Layout","PO","2021/02/26 20:07:32.972","BBD527FC822E1668E053A062500AEA1E","srimanth@squareup.com","1","PO_CHANGE_ORDER_TEMPLATE","","N"
"Square Financial Services (US) - 131","RFI","","","","","","","","","","","","","","","","","ContractTermsProcurement","","ContractTermsProcurement","srimanth@squareup.com","2021/02/26 19:59:22.855","SOURCING RFI","Negotiation Layout","SOURCING RFI","2021/02/26 20:07:32.974","BBD527FC822E1668E053A062500AEA1E","srimanth@squareup.com","1","","Response Layout","N"
"Square Financial Services (US) - 131","RFQ","","","","","","","","","","","","","","","","","ContractTermsProcurement","","ContractTermsProcurement","srimanth@squareup.com","2021/02/26 19:59:22.867","SOURCING RFQ","Negotiation Layout","SOURCING RFQ","2021/02/26 20:07:32.977","BBD527FC822E1668E053A062500AEA1E","srimanth@squareup.com","1","","Response Layout","N"
"Global Risk Engagement B.V. (TWN) - 215","Auction","","","","","","","","","","","","","","","","","ContractTermsProcurement","","ContractTermsProcurement","phani@squareup.com","2021/06/04 09:49:45.102","BUYER AUCTION","Negotiation Layout","AUCTION","2021/06/04 09:56:00.168","C39972CF72BDAC1FE053A062500AF938","phani@squareup.com","1","","Response Layout","N"
"Global Risk Engagement B.V. (TWN) - 215","Blanket Purchase Agreement","","","","","","","","","","","","","","","","","ContractTermsProcurement","Blanket Purchase Agreement Change Order Layout","ContractTermsProcurement","phani@squareup.com","2021/06/04 09:49:45.339","BLANKET","Custom BPA PDF","PA","2021/06/04 09:56:00.184","C39972CF72BDAC1FE053A062500AF938","phani@squareup.com","1","BPA_CHANGE_ORDER_TEMPLATE","","N"
"Global Risk Engagement B.V. (TWN) - 215","Contract Purchase Agreement","","","","","","","","","","","","","","","","","ContractTermsProcurement","Contract Purchase Agreement Change Order Layout","ContractTermsProcurement","phani@squareup.com","2021/06/04 09:49:45.519","CONTRACT","Purchase Agreement Layout","PA","2021/06/04 09:56:00.19","C39972CF72BDAC1FE053A062500AF938","phani@squareup.com","1","CPA_CHANGE_ORDER_TEMPLATE","","N"
"Global Risk Engagement B.V. (TWN) - 215","Purchase Order","","","","","","","","","","","","","","","","","ContractTermsProcurement","Purchase Order Change Order Layout","ContractTermsProcurement","phani@squareup.com","2021/06/04 09:49:45.526","STANDARD","SQ Purchase Order Print Template PO Mask","PO","2021/06/04 09:56:00.192","C39972CF72BDAC1FE053A062500AF938","phani@squareup.com","1","PO_CHANGE_ORDER_TEMPLATE","","N"
"Global Risk Engagement B.V. (TWN) - 215","RFI","","","","","","","","","","","","","","","","","ContractTermsProcurement","","ContractTermsProcurement","phani@squareup.com","2021/06/04 09:49:45.532","SOURCING RFI","Negotiation Layout","SOURCING RFI","2021/06/04 09:56:00.195","C39972CF72BDAC1FE053A062500AF938","phani@squareup.com","1","","Response Layout","N"
"Global Risk Engagement B.V. (TWN) - 215","RFQ","","","","","","","","","","","","","","","","","ContractTermsProcurement","","ContractTermsProcurement","phani@squareup.com","2021/06/04 09:49:45.603","SOURCING RFQ","Negotiation Layout","SOURCING RFQ","2021/06/04 09:56:00.198","C39972CF72BDAC1FE053A062500AF938","phani@squareup.com","1","","Response Layout","N"
"Spain","Auction","","","","","","","","","","","","","","","","","ContractTermsProcurement","","ContractTermsProcurement","phani@squareup.com","2021/01/12 07:42:00.787","BUYER AUCTION","Negotiation Layout","AUCTION","2021/01/12 07:46:54.427","B71C07CF1B000E75E053A062500A39E7","phani@squareup.com","1","","Response Layout","N"
"Spain","Blanket Purchase Agreement","","","","","","","","","","","","","","","","","ContractTermsProcurement","Blanket Purchase Agreement Change Order Layout","ContractTermsProcurement","phani@squareup.com","2021/01/12 07:42:00.86","BLANKET","Purchase Agreement Layout","PA","2021/01/12 07:46:54.438","B71C07CF1B000E75E053A062500A39E7","phani@squareup.com","1","BPA_CHANGE_ORDER_TEMPLATE","","N"
"Spain","Contract Purchase Agreement","","","","","","","","","","","","","","","","","ContractTermsProcurement","Contract Purchase Agreement Change Order Layout","ContractTermsProcurement","phani@squareup.com","2021/01/12 07:42:00.924","CONTRACT","Purchase Agreement Layout","PA","2021/01/12 07:46:54.442","B71C07CF1B000E75E053A062500A39E7","phani@squareup.com","1","CPA_CHANGE_ORDER_TEMPLATE","","N"
"Spain","Purchase Order","","","","","","","","","","","","","","","","","ContractTermsProcurement","Purchase Order Change Order Layout","ContractTermsProcurement","phani@squareup.com","2021/01/12 07:42:00.933","STANDARD","Purchase Order Layout","PO","2021/01/12 07:46:54.443","B71C07CF1B000E75E053A062500A39E7","phani@squareup.com","1","PO_CHANGE_ORDER_TEMPLATE","","N"
"Spain","RFI","","","","","","","","","","","","","","","","","ContractTermsProcurement","","ContractTermsProcurement","phani@squareup.com","2021/01/12 07:42:00.941","SOURCING RFI","Negotiation Layout","SOURCING RFI","2021/01/12 07:46:54.444","B71C07CF1B000E75E053A062500A39E7","phani@squareup.com","1","","Response Layout","N"
"Spain","RFQ","","","","","","","","","","","","","","","","","ContractTermsProcurement","","ContractTermsProcurement","phani@squareup.com","2021/01/12 07:42:00.952","SOURCING RFQ","Negotiation Layout","SOURCING RFQ","2021/01/12 07:46:54.447","B71C07CF1B000E75E053A062500A39E7","phani@squareup.com","1","","Response Layout","N"
"Canada","Auction","","","","","","","","","","","","","","","","","ContractTermsProcurement","","ContractTermsProcurement","venkat@squareup.com","2018/06/10 21:59:28.061","BUYER AUCTION","Negotiation Layout","AUCTION","2018/06/10 22:00:20.802","6B851F75CF33BC8BE053120C1B0A0CAA","venkat@squareup.com","1","","Response Layout","N"
"Canada","Blanket Purchase Agreement","","","","","","","","","","","","","","","","","ContractTermsProcurement","Blanket Purchase Agreement Change Order Layout","ContractTermsProcurement","venkat@squareup.com","2018/06/10 21:59:28.108","BLANKET","Purchase Agreement Layout","PA","2018/06/10 22:00:20.804","6B851F75CF33BC8BE053120C1B0A0CAA","venkat@squareup.com","1","BPA_CHANGE_ORDER_TEMPLATE","","Y"
"Canada","Contract Purchase Agreement","","","","","","","","","","","","","","","","","ContractTermsProcurement","Contract Purchase Agreement Change Order Layout","ContractTermsProcurement","venkat@squareup.com","2018/06/10 21:59:28.127","CONTRACT","Purchase Agreement Layout","PA","2018/06/10 22:00:20.806","6B851F75CF33BC8BE053120C1B0A0CAA","venkat@squareup.com","1","CPA_CHANGE_ORDER_TEMPLATE","","N"
"Canada","Purchase Order","","","","","","","","","","","","","","","","","ContractTermsProcurement","Purchase Order Change Order Layout","ContractTermsProcurement","venkat@squareup.com","2018/06/10 21:59:28.139","STANDARD","SQ Purchase Order Print Template PO Mask","PO","2020/04/26 13:24:22.351","A1C7CA3B94204F67E053120C1B0A7475","vinay@squareup.com","1","PO_CHANGE_ORDER_TEMPLATE","","Y"
"Canada","RFI","","","","","","","","","","","","","","","","","ContractTermsProcurement","","ContractTermsProcurement","venkat@squareup.com","2018/06/10 21:59:28.152","SOURCING RFI","Negotiation Layout","SOURCING RFI","2018/06/10 22:00:20.81","6B851F75CF33BC8BE053120C1B0A0CAA","venkat@squareup.com","1","","Response Layout","N"
"Canada","RFQ","","","","","","","","","","","","","","","","","ContractTermsProcurement","","ContractTermsProcurement","venkat@squareup.com","2018/06/10 21:59:28.179","SOURCING RFQ","Negotiation Layout","SOURCING RFQ","2018/06/10 22:00:20.812","6B851F75CF33BC8BE053120C1B0A0CAA","venkat@squareup.com","1","","Response Layout","N"
"USD - International","Auction","","","","","","","","","","","","","","","","","ContractTermsProcurement","","ContractTermsProcurement","shashi@squareup.com","2023/02/27 08:12:04.029","BUYER AUCTION","Negotiation Layout","AUCTION","2023/02/27 08:13:39.165","F58B9794253BB9A2E0534893500A6529","shashi@squareup.com","1","","Response Layout","N"
"USD - International","Blanket Purchase Agreement","","","","","","","","","","","","","","","","","ContractTermsProcurement","Blanket Purchase Agreement Change Order Layout","ContractTermsProcurement","shashi@squareup.com","2023/02/27 08:12:04.044","BLANKET","Purchase Agreement Layout","PA","2023/02/27 08:13:39.171","F58B9794253BB9A2E0534893500A6529","shashi@squareup.com","1","BPA_CHANGE_ORDER_TEMPLATE","","N"
"USD - International","Contract Purchase Agreement","","","","","","","","","","","","","","","","","ContractTermsProcurement","Contract Purchase Agreement Change Order Layout","ContractTermsProcurement","shashi@squareup.com","2023/02/27 08:12:04.055","CONTRACT","Purchase Agreement Layout","PA","2023/02/27 08:13:39.174","F58B9794253BB9A2E0534893500A6529","shashi@squareup.com","1","CPA_CHANGE_ORDER_TEMPLATE","","N"
"USD - International","Purchase Order","","","","","","","","","","","","","","","","","ContractTermsProcurement","Purchase Order Change Order Layout","ContractTermsProcurement","shashi@squareup.com","2023/02/27 08:12:04.07","STANDARD","Purchase Order Layout","PO","2023/02/27 08:13:39.177","F58B9794253BB9A2E0534893500A6529","shashi@squareup.com","1","PO_CHANGE_ORDER_TEMPLATE","","N"
"USD - International","RFI","","","","","","","","","","","","","","","","","ContractTermsProcurement","","ContractTermsProcurement","shashi@squareup.com","2023/02/27 08:12:04.079","SOURCING RFI","Negotiation Layout","SOURCING RFI","2023/02/27 08:13:39.18","F58B9794253BB9A2E0534893500A6529","shashi@squareup.com","1","","Response Layout","N"
"USD - International","RFQ","","","","","","","","","","","","","","","","","ContractTermsProcurement","","ContractTermsProcurement","shashi@squareup.com","2023/02/27 08:12:04.088","SOURCING RFQ","Negotiation Layout","SOURCING RFQ","2023/02/27 08:13:39.183","F58B9794253BB9A2E0534893500A6529","shashi@squareup.com","1","","Response Layout","N"
"Bitcoin HW US","Auction","","","","","","","","","","","","","","","","","ContractTermsProcurement","","ContractTermsProcurement","sqinterface_oracle@squareup.com","2023/06/20 05:15:21.618","BUYER AUCTION","Negotiation Layout","AUCTION","2023/06/20 05:17:55.612","FE7D9AB47A29D884E0534893500AFB35","sqinterface_oracle@squareup.com","1","","Response Layout","N"
"Bitcoin HW US","Blanket Purchase Agreement","","","","","","","","","","","","","","","","","ContractTermsProcurement","Blanket Purchase Agreement Change Order Layout","ContractTermsProcurement","sqinterface_oracle@squareup.com","2023/06/20 05:15:21.686","BLANKET","Purchase Agreement Layout","PA","2023/06/20 05:17:55.623","FE7D9AB47A29D884E0534893500AFB35","sqinterface_oracle@squareup.com","1","BPA_CHANGE_ORDER_TEMPLATE","","N"
"Bitcoin HW US","Contract Purchase Agreement","","","","","","","","","","","","","","","","","ContractTermsProcurement","Contract Purchase Agreement Change Order Layout","ContractTermsProcurement","sqinterface_oracle@squareup.com","2023/06/20 05:15:21.806","CONTRACT","Purchase Agreement Layout","PA","2023/06/20 05:17:55.627","FE7D9AB47A29D884E0534893500AFB35","sqinterface_oracle@squareup.com","1","CPA_CHANGE_ORDER_TEMPLATE","","N"
"Bitcoin HW US","Purchase Order","","","","","","","","","","","","","","","","","ContractTermsProcurement","Purchase Order Change Order Layout","ContractTermsProcurement","sqinterface_oracle@squareup.com","2023/06/20 05:15:21.812","STANDARD","SQ Purchase Order Print Template PO Mask","PO","2024/01/13 00:41:55.32","0EBCD4E4B70A52ACE0639696500AAF41","sqinterface_oracle@squareup.com","1","PO_CHANGE_ORDER_TEMPLATE","","N"
"Bitcoin HW US","RFI","","","","","","","","","","","","","","","","","ContractTermsProcurement","","ContractTermsProcurement","sqinterface_oracle@squareup.com","2023/06/20 05:15:21.816","SOURCING RFI","Negotiation Layout","SOURCING RFI","2023/06/20 05:17:55.629","FE7D9AB47A29D884E0534893500AFB35","sqinterface_oracle@squareup.com","1","","Response Layout","N"
"Bitcoin HW US","RFQ","","","","","","","","","","","","","","","","","ContractTermsProcurement","","ContractTermsProcurement","sqinterface_oracle@squareup.com","2023/06/20 05:15:21.836","SOURCING RFQ","Negotiation Layout","SOURCING RFQ","2023/06/20 05:17:55.633","FE7D9AB47A29D884E0534893500AFB35","sqinterface_oracle@squareup.com","1","","Response Layout","N"
"US","Auction","","","","","","","","","","","","","","","","","ContractTermsProcurement","","ContractTermsProcurement","venkat@squareup.com","2018/06/10 21:53:08.384","BUYER AUCTION","Negotiation Layout","AUCTION","2018/06/10 21:57:52.134","6B851F75CF33BC8BE053120C1B0A0CAA","venkat@squareup.com","1","","Response Layout","N"
"US","Blanket Purchase Agreement","","","","","","","","","","","","","","","","","ContractTermsProcurement","Blanket Purchase Agreement Change Order Layout","ContractTermsProcurement","venkat@squareup.com","2018/06/10 21:53:08.504","BLANKET","Custom BPA PDF","PA","2019/11/06 19:09:55.85","96AA4557AD7E902EE053140C1B0AD13C","pavan1@squareup.com","1","BPA_CHANGE_ORDER_TEMPLATE","","Y"
"US","Contract Purchase Agreement","","","","","","","","","","","","","","","","","ContractTermsProcurement","Contract Purchase Agreement Change Order Layout","ContractTermsProcurement","venkat@squareup.com","2018/06/10 21:53:08.756","CONTRACT","Purchase Agreement Layout","PA","2018/06/10 21:57:52.214","6B851F75CF33BC8BE053120C1B0A0CAA","venkat@squareup.com","1","CPA_CHANGE_ORDER_TEMPLATE","","N"
"US","Purchase Order","","","","","","","","","","","","","","","","","ContractTermsProcurement","Purchase Order Change Order Layout","ContractTermsProcurement","venkat@squareup.com","2018/06/10 21:53:08.772","STANDARD","SQ Purchase Order Print Template PO Mask","PO","2023/11/29 16:05:01.659","0B4D3684BABD9AFEE0634893500ADFFC","jindal@squareup.com","1","PO_CHANGE_ORDER_TEMPLATE","","Y"
"US","RFI","","","","","","","","","","","","","","","","","ContractTermsProcurement","","ContractTermsProcurement","venkat@squareup.com","2018/06/10 21:53:08.796","SOURCING RFI","Negotiation Layout","SOURCING RFI","2018/06/10 21:57:52.263","6B851F75CF33BC8BE053120C1B0A0CAA","venkat@squareup.com","1","","Response Layout","N"
"US","RFQ","","","","","","","","","","","","","","","","","ContractTermsProcurement","","ContractTermsProcurement","venkat@squareup.com","2018/06/10 21:53:08.84","SOURCING RFQ","Negotiation Layout","SOURCING RFQ","2018/06/10 21:57:52.267","6B851F75CF33BC8BE053120C1B0A0CAA","venkat@squareup.com","1","","Response Layout","N"
"Tidal Japan","Auction","","","","","","","","","","","","","","","","","ContractTermsProcurement","","ContractTermsProcurement","phani@squareup.com","2021/12/15 12:23:44.02","BUYER AUCTION","Negotiation Layout","AUCTION","2021/12/15 12:24:41.38","D134D1C56025B3CCE053A162500A515D","phani@squareup.com","1","","Response Layout","N"
