"BuName","SOBName","AcctsPaySegments","PrepaySegments","FutureDatedPaymentSegments","RateVarGainSegments","RateVarLossSegments","DiscTakenSegments","MiscChargeSegments","FreightSegments","PrepayTaxDiffSegments","GainSegments","LossSegments","ExpenseAccrualSegments","LastUpdateDate","LastUpdatedBy","PaymentMethodLookupCode","UserDefinedVendorNumCode","VendorNumStartNum","AlwaysTakeDiscFlag","PayDateBasisLookupCode","InvoiceCurrencyCode","PaymentCurrencyCode","FuturePeriodLimit","ReqEncumbranceFlag","PurchEncumbranceFlag","ManualVendorNumType","LastUpdateLogin","CreationDate","CreatedBy","ReceiptAcceptanceDays","TermsDateBasis","HoldUnmatchedInvoicesFlag","ExclusivePaymentFlag","VatRegistrationNum","VatCountryCode","BankChargeBearer","MatchOption","GlobalAttributeCategory","GlobalAttribute1","GlobalAttribute2","GlobalAttribute3","GlobalAttribute4","GlobalAttribute5","GlobalAttribute6","GlobalAttribute7","GlobalAttribute8","GlobalAttribute9","GlobalAttribute10","GlobalAttribute11","GlobalAttribute12","GlobalAttribute13","GlobalAttribute14","GlobalAttribute15","GlobalAttribute16","GlobalAttribute17","GlobalAttribute18","GlobalAttribute19","GlobalAttribute20","NrTaxRounding","BuyingCompanyIdentifier","GaplessInvNumFlag","ExpenseAccrualCode","AutomaticOffsetsFlag","AutomaticOffsetsChangeFlag","LiabilityPostLookupCode","TransEffectiveStartDate","TransEffectiveEndDate","MakeRateMandatoryFlag","EnterpriseId","EffectiveStartDate","EffectiveEndDate","SetCode","InternalLocationCode","MakeRateMandatoryPmtFlag","UserConversionRateType","UserDefaultPmtExchangeRateType","OneTimePayLiabSegments","OneTimePayExpenseSegments","RetainageSegments","UnclaimedFundsSegments"
"USD - International","USD - International","326
00000
2000100
000
0000
0000
00000























","326
00000
1910010
000
0000
0000
00000























","","326
30401
7300020
000
0000
0000
00000























","326
30401
7300020
000
0000
0000
00000























","326
30401
6800070
000
0000
0000
00000























","","","","326
30401
7300010
000
0000
0000
00000























","326
30401
7300010
000
0000
0000
00000























","","2023/03/31 14:02:11.546","sqinterface_oracle@squareup.com","","","","","","","","","","","","F824E41BB791438EE0534893500A1FD0","2022/10/12 07:55:53.001","viyan@squareup.com","","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","PERIOD END","Y","","BALANCING_SEGMENT","","","Y","1","1951/01/01","4712/12/31","COMMON","IE - Dublin - Sir John Rogerson's Quay","Y","Corporate","Corporate","326
00000
2000100
000
0000
0000
00000























","326
00000
2300900
000
0000
0000
00000























","",""
"Spain","Spain Ledger","313
00000
2000100
000
0000
0000
00000























","313
00000
1910010
000
0000
0000
00000























","","313
30401
7300020
000
0000
0000
00000























","313
30401
7300020
000
0000
0000
00000























","313
30401
6800070
000
0000
0000
00000























","","","","313
30401
7300010
000
0000
0000
00000























","313
30401
7300010
000
0000
0000
00000























","","2021/01/07 16:37:48.588","vsangavi@squareup.com","","","","","","","","","","","","B71C593B991CA138E053A162500A0556","2021/01/07 10:27:48.001","vsangavi@squareup.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","PERIOD END","Y","","BALANCING_SEGMENT","","","Y","1","1951/01/01","4712/12/31","COMMON","ES - Barcelona","Y","Corporate","Corporate","313
00000
2000100
000
0000
0000
00000























","313
00000
2300900
000
0000
0000
00000























","",""
"Singapore SGD","Singapore Ledger SGD","203
00000
2000100
000
0000
0000
00000























","203
00000
1910010
000
0000
0000
00000























","","203
30401
7300020
000
0000
0000
00000























","203
30401
7300020
000
0000
0000
00000























","203
30401
6800070
000
0000
0000
00000























","","","","203
30401
7300010
000
0000
0000
00000























","203
30401
7300010
000
0000
0000
00000























","","2022/06/20 07:36:22.316","viyan@squareup.com","","","","","","","","","","","","E1A8B4BABCE1E4E5E0539696500ABFF1","2022/06/20 07:32:38.001","viyan@squareup.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","PERIOD END","Y","","BALANCING_SEGMENT","","","Y","1","","","","","Y","Corporate","Corporate","203
00000
2000100
000
0000
0000
00000























","203
00000
2300900
000
0000
0000
00000























","",""
"Tidal Germany","TIDAL Germany Ledger","323
00000
2000100
000
0000
0000
00000























","323
00000
1910010
000
0000
0000
00000























","","323
30401
7300020
000
0000
0000
00000























","323
30401
7300020
000
0000
0000
00000























","323
30401
6800070
000
0000
0000
00000























","","","","323
30401
7300010
000
0000
0000
00000























","323
30401
7300010
000
0000
0000
00000























","","2021/12/15 10:18:04.562","viyan@squareup.com","","","","","","","","","","","","D134B5C991DDB154E053A062500A57A9","2021/12/15 10:14:42.001","viyan@squareup.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","PERIOD END","Y","","BALANCING_SEGMENT","","","Y","1","1951/01/01","4712/12/31","COMMON","DE - Berlin","Y","Corporate","Corporate","323
00000
2000100
000
0000
0000
00000























","323
00000
2300900
000
0000
0000
00000























","",""
"Tidal Japan","TIDAL Japan Ledger","212
00000
2000100
000
0000
0000
00000























","212
00000
1910010
000
0000
0000
00000























","","212
30401
7300020
000
0000
0000
00000























","212
30401
7300020
000
0000
0000
00000























","212
30401
6800070
000
0000
0000
00000























","","","","212
30401
7300010
000
0000
0000
00000























","212
30401
7300010
000
0000
0000
00000























","","2021/12/15 10:27:36.394","viyan@squareup.com","","","","","","","","","","","","D134B5C991DDB154E053A062500A57A9","2021/12/15 10:25:09.0","viyan@squareup.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","PERIOD END","Y","","BALANCING_SEGMENT","","","Y","1","1951/01/01","4712/12/31","COMMON","JP - Tokyo","Y","Corporate","Corporate","212
00000
2000100
000
0000
0000
00000























","212
00000
2300900
000
0000
0000
00000























","",""
"TIDAL Music LLC - 121","TIDAL US Ledger","121
00000
2000100
000
0000
0000
00000























","121
00000
1910010
000
0000
0000
00000























","","121
30401
7300020
000
0000
0000
00000























","121
30401
7300020
000
0000
0000
00000























","121
30401
6800070
000
0000
0000
00000























","","","","121
30401
7300010
000
0000
0000
00000























","121
30401
7300010
000
0000
0000
00000























","","2021/12/15 10:31:04.023","viyan@squareup.com","","","","","","","","","","","","D134B5C991DDB154E053A062500A57A9","2021/12/15 10:28:55.001","viyan@squareup.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","PERIOD END","Y","","BALANCING_SEGMENT","","","Y","1","2021/12/15","4712/12/31","COMMON","US - Wilmington","Y","Corporate","Corporate","121
00000
2000100
000
0000
0000
00000























","121
00000
2300900
000
0000
0000
00000























","",""
"Tidal Poland","TIDAL Poland Ledger","322
00000
2000100
000
0000
0000
00000























","322
00000
1910010
000
0000
0000
00000























","","322
30401
7300020
000
0000
0000
00000























","322
30401
7300020
000
0000
0000
00000























","322
30401
6800070
000
0000
0000
00000























","","","","322
30401
7300010
000
0000
0000
00000























","322
30401
7300010
000
0000
0000
00000























","","2021/12/15 10:13:37.404","viyan@squareup.com","","","","","","","","","","","","D134B5C991DDB154E053A062500A57A9","2021/12/15 10:10:33.001","viyan@squareup.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","PERIOD END","Y","","BALANCING_SEGMENT","","","Y","1","2022/07/11","4712/12/31","COMMON","PL - Warszawa","Y","Corporate","Corporate","322
00000
2000100
000
0000
0000
00000























","322
00000
2300900
000
0000
0000
00000























","",""
"TIDAL Cayman","TIDAL Cayman Ledger","501
00000
2000100
000
0000
0000
00000























","501
00000
1910010
000
0000
0000
00000























","","501
30401
7300020
000
0000
0000
00000























","501
30401
7300020
000
0000
0000
00000























","501
30401
6800070
000
0000
0000
00000























","","","","501
30401
7300010
000
0000
0000
00000























","501
30401
7300010
000
0000
0000
00000























","","2021/12/15 10:24:38.81","viyan@squareup.com","","","","","","","","","","","","D134B5C991DDB154E053A062500A57A9","2021/12/15 10:22:02.001","viyan@squareup.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","PERIOD END","Y","","BALANCING_SEGMENT","","","Y","1","1951/01/01","4712/12/31","COMMON","KY - Grand Cayman","Y","Corporate","Corporate","501
00000
2000100
000
0000
0000
00000























","501
00000
2300900
000
0000
0000
00000























","",""
"China USD","China Ledger USD","221
00000
2000100
000
0000
0000
00000























","221
00000
1910010
000
0000
0000
00000























","","221
30401
7300020
000
0000
0000
00000























","221
30401
7300020
000
0000
0000
00000























","221
30401
6800070
000
0000
0000
00000























","","","","221
30401
7300010
000
0000
0000
00000























","221
30401
7300010
000
0000
0000
00000























","","2022/06/20 07:22:50.613","viyan@squareup.com","","","","","","","","","","","","E1A8B4BABCE1E4E5E0539696500ABFF1","2022/06/20 07:08:42.0","viyan@squareup.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","PERIOD END","Y","","BALANCING_SEGMENT","","","Y","1","","","","","Y","Corporate","Corporate","221
00000
2000100
000
0000
0000
00000























","221
00000
2300900
000
0000
0000
00000























","",""
"New Zealand","New Zealand Ledger","231
00000
2000100
000
0000
0000
00000























","231
00000
1910010
000
0000
0000
00000























","","231
30401
7300020
000
0000
0000
00000























","231
30401
7300020
000
0000
0000
00000























","231
30401
6800070
000
0000
0000
00000























","","","","231
30401
7300010
000
0000
0000
00000























","231
30401
7300010
000
0000
0000
00000























","","2022/06/20 07:27:36.316","viyan@squareup.com","","","","","","","","","","","","E1A8B4BABCE1E4E5E0539696500ABFF1","2022/06/20 07:23:51.0","viyan@squareup.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","PERIOD END","Y","","BALANCING_SEGMENT","","","Y","1","","","","","Y","Corporate","Corporate","231
00000
2000100
000
0000
0000
00000























","231
00000
2300900
000
0000
0000
00000























","",""
"Indonesia IDR","Indonesia Ledger IDR","205
00000
2000100
000
0000
0000
00000























","205
00000
1910010
000
0000
0000
00000























","","205
30401
7300020
000
0000
0000
00000























","205
30401
7300020
000
0000
0000
00000























","205
30401
6800070
000
0000
0000
00000























","","","","205
30401
7300010
000
0000
0000
00000























","205
30401
7300010
000
0000
0000
00000























","","2022/06/20 07:31:27.001","viyan@squareup.com","","","","","","","","","","","","E1A8B4BABCE1E4E5E0539696500ABFF1","2022/06/20 07:28:45.001","viyan@squareup.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","PERIOD END","Y","","BALANCING_SEGMENT","","","Y","1","","","","","Y","Corporate","Corporate","205
00000
2000100
000
0000
0000
00000























","205
00000
2300900
000
0000
0000
00000























","",""
"Square Technologies, Inc (CA) - 152","Canada Ledger","152
00000
2000100
000
0000
0000
00000























","152
00000
2000100
000
0000
0000
00000























","","152
00000
2000100
000
0000
0000
00000























","152
00000
2000100
000
0000
0000
00000























","152
00000
2000100
000
0000
0000
00000























","","","","152
00000
2000100
000
0000
0000
00000























","152
00000
2000100
000
0000
0000
00000























","","2025/11/25 23:12:06.824","akuppili@squareup.com","","","","","","","","","","","","4360992960F09C6DE063C261500AC24B","2025/10/20 20:55:32.555","nithin@block.xyz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","RECEIPT","N","Y","NONE","","","N","1","","","","","Y","","Corporate","","","",""
"Tidal UK","TIDAL UK Ledger","305
00000
2000100
000
0000
0000
00000























","305
00000
1910010
000
0000
0000
00000























","","305
30401
7300020
000
0000
0000
00000























","305
30401
7300020
000
0000
0000
00000























","305
30401
6800070
000
0000
0000
00000























","","","","305
30401
7300010
000
0000
0000
00000























","305
30401
7300010
000
0000
0000
00000























","","2021/12/15 10:05:38.992","viyan@squareup.com","","","","","","","","","","","","D134B5C991DDB154E053A062500A57A9","2021/12/15 10:02:58.0","viyan@squareup.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","PERIOD END","Y","","BALANCING_SEGMENT","","","Y","1","1951/01/01","4712/12/31","COMMON","GB - England","Y","Corporate","Corporate","305
00000
2000100
000
0000
0000
00000























","305
00000
2300900
000
0000
0000
00000























","",""
"Tidal Sweden","TIDAL Sweden Ledger","320
00000
2000100
000
0000
0000
00000























","320
00000
1910010
000
0000
0000
00000























","","320
30401
7300020
000
0000
0000
00000























","320
30401
7300020
000
0000
0000
00000























","320
30401
6800070
000
0000
0000
00000























","","","","320
30401
7300010
000
0000
0000
00000























","320
30401
7300010
000
0000
0000
00000























","","2021/12/15 10:21:24.443","viyan@squareup.com","","","","","","","","","","","","D134B5C991DDB154E053A062500A57A9","2021/12/15 10:18:39.001","viyan@squareup.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","PERIOD END","Y","","BALANCING_SEGMENT","","","Y","1","1951/01/01","4712/12/31","COMMON","SE - New York","Y","Corporate","Corporate","320
00000
2000100
000
0000
0000
00000























","320
00000
2300900
000
0000
0000
00000























","",""
"Lithuania","Lithuania Ledger","314
00000
2000100
000
0000
0000
00000























","314
00000
1910010
000
0000
0000
00000























","","314
30401
7300020
000
0000
0000
00000























","314
30401
7300020
000
0000
0000
00000























","314
30401
6800070
000
0000
0000
00000























","","","","314
30401
7300010
000
0000
0000
00000























","314
30401
7300010
000
0000
0000
00000























","","2021/01/07 16:38:14.89","vsangavi@squareup.com","","","","","","","","","","","","B71C593B991CA138E053A162500A0556","2021/01/07 10:33:19.001","vsangavi@squareup.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","PERIOD END","Y","","BALANCING_SEGMENT","","","Y","1","1951/01/01","4712/12/31","COMMON","LT - Vilnius","Y","Corporate","Corporate","314
00000
2000100
000
0000
0000
00000























","314
00000
2300900
000
0000
0000
00000























","",""
"Tidal Norway","TIDAL Norway Ledger","321
00000
2000100
000
0000
0000
00000























","321
00000
1910010
000
0000
0000
00000























","","321
30401
7300020
000
0000
0000
00000























","321
30401
7300020
000
0000
0000
00000























","321
30401
6800070
000
0000
0000
00000























","","","","321
30401
7300010
000
0000
0000
00000























","321
30401
7300010
000
0000
0000
00000























","","2021/12/15 10:09:28.318","viyan@squareup.com","","","","","","","","","","","","D134B5C991DDB154E053A062500A57A9","2021/12/15 10:06:32.0","viyan@squareup.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","PERIOD END","Y","","BALANCING_SEGMENT","","","Y","1","1951/01/01","4712/12/31","COMMON","NO - Oslo","Y","Corporate","Corporate","321
00000
2000100
000
0000
0000
00000























","321
00000
2300900
000
0000
0000
00000























","",""
"Tidal Spain","TIDAL Spain Ledger","325
00000
2000100
000
0000
0000
00000























","325
00000
1910010
000
0000
0000
00000























","","325
30401
7300020
000
0000
0000
00000























","325
30401
7300020
000
0000
0000
00000























","325
30401
6800070
000
0000
0000
00000























","","","","325
30401
7300010
000
0000
0000
00000























","325
30401
7300010
000
0000
0000
00000























","","2023/06/23 22:03:02.228","sqinterface_oracle@squareup.com","","","","","","","","","","","","FECF223EEFDF860FE0534893500AB14A","2022/04/05 16:33:32.001","viyan@squareup.com","","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","PERIOD END","Y","","BALANCING_SEGMENT","","","Y","1","1951/01/01","4712/12/31","COMMON","ES - Barcelona - Plaça de Catalunya","Y","Corporate","Corporate","","","",""
"Mexico","Mexico Ledger","504
00000
2000100
000
0000
0000
00000























","504
00000
1910010
000
0000
0000
00000























","","504
30401
7300020
000
0000
0000
00000























","504
30401
7300020
000
0000
0000
00000























","504
30401
6800070
000
0000
0000
00000























","","","","504
30401
7300010
000
0000
0000
00000























","504
30401
7300010
000
0000
0000
00000























","","2022/08/29 02:23:35.524","viyan@squareup.com","","","","","","","","","","","","E749BBC5E056B47DE0534893500A1424","2022/08/29 02:11:14.708","viyan@squareup.com","","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PERIOD END","Y","Y","BALANCING_SEGMENT","","","Y","1","1951/01/01","4712/12/31","COMMON","MX - NL - Monterrey","Y","Corporate","Corporate","504
00000
2000100
000
0000
0000
00000























","504
00000
2300900
000
0000
0000
00000























","",""
"France","France Ledger","315
00000
2000100
000
0000
0000
00000























","315
00000
1910010
000
0000
0000
00000























","","315
30401
7300020
000
0000
0000
00000























","315
30401
7300020
000
0000
0000
00000























","315
30401
6800070
000
0000
0000
00000























","","","","315
30401
7300010
000
0000
0000
00000























","315
30401
7300010
000
0000
0000
00000























","","2022/10/12 17:01:00.2","viyan@squareup.com","","","","","","","","","","","","EACBDF365F6A148DE0539696500A9133","2022/09/23 07:08:26.001","viyan@squareup.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","PERIOD END","Y","","BALANCING_SEGMENT","","","Y","1","1951/01/01","4712/12/31","COMMON","FR - Paris - 4 Rue de Marivaux","N","Corporate","Corporate","315
00000
2000100
000
0000
0000
00000























","315
00000
2000100
000
0000
0000
00000























","",""
"China","China Ledger","220
00000
2000100
000
0000
0000
00000























","220
00000
1910010
000
0000
0000
00000























","","220
30401
7300020
000
0000
0000
00000























","220
30401
7300020
000
0000
0000
00000























","220
30401
6800070
000
0000
0000
00000























","","","","220
30401
7300010
000
0000
0000
00000























","220
30401
7300010
000
0000
0000
00000























","","2023/03/01 11:47:58.911","viyan@squareup.com","","","","","","","","","","","","F5D4A570F51E334FE0539696500A058E","2023/03/01 11:38:42.0","viyan@squareup.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","PERIOD END","Y","","BALANCING_SEGMENT","","","Y","1","","","","","Y","Corporate","Corporate","220
00000
2000100
000
0000
0000
00000























","220
00000
2300900
000
0000
0000
00000























","",""
"Squareup GmbH (DE) - 317","Germany Ledger","317
00000
2000100
000
0000
0000
00000























","317
00000
1910010
000
0000
0000
00000























","","317
30401
7300020
000
0000
0000
00000























","317
30401
7300020
000
0000
0000
00000























","317
30401
6800070
000
0000
0000
00000























","","","","317
30401
7300010
000
0000
0000
00000























","317
30401
7300010
000
0000
0000
00000























","","2021/08/11 08:30:46.433","viyan@squareup.com","","","","","","","","","","","","C93943C7E11A7EC1E053A062500A469A","2021/08/11 08:26:46.002","viyan@squareup.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","PERIOD END","Y","","BALANCING_SEGMENT","","","Y","1","1951/01/01","4712/12/31","COMMON","DE - Frankfurt","Y","Corporate","Corporate","317
00000
2000100
000
0000
0000
00000























","317
00000
2300900
000
0000
0000
00000























","",""
